year,month,rf,rM
2005,8,0.002920,-.005958
2005,9,0.002848,0.010600
2005,10,0.002728,-.020866
2005,11,0.003045,0.040326
2005,12,0.003160,0.003458
2006,1,0.003488,0.040072
2006,2,0.003322,-.001639
2006,3,0.003642,0.019065
2006,4,0.003559,0.013000
2006,5,0.004195,-.031032
2006,6,0.003970,-.000391
2006,7,0.003976,-.001912
2006,8,0.004283,0.025041
2006,9,0.004047,0.019425
2006,10,0.004076,0.037153
2006,11,0.004243,0.023736
2006,12,0.004036,0.010857
2007,1,0.004328,0.019387
2007,2,0.003837,-.014006
2007,3,0.004257,0.012954
2007,4,0.004348,0.039834
2007,5,0.004046,0.038953
2007,6,0.003918,-.014747
2007,7,0.003962,-.031790
2007,8,0.004205,0.011593
2007,9,0.003347,0.040822
2007,10,0.003212,0.025910
2007,11,0.003395,-.049362
2007,12,0.002921,-.004405
2008,1,0.002430,-.062218
2008,2,0.001325,-.021697
2008,3,0.001869,-.010444
2008,4,0.001025,0.051199
2008,5,0.000946,0.023935
2008,6,0.001750,-.078436
2008,7,0.001440,-.013413
2008,8,0.001282,0.010597
2008,9,0.001530,-.098172
2008,10,0.000792,-.184833
2008,11,0.000228,-.084681
2008,12,0.000029,0.022232
2009,1,0.000023,-.077471
2009,2,0.000147,-.100166
2009,3,0.000159,0.086803
2009,4,0.000125,0.109466
2009,5,0.000017,0.067787
2009,6,0.000075,-.003019
2009,7,0.000119,0.081780
2009,8,0.000116,0.031510
2009,9,0.000079,0.045281
2009,10,0.000040,-.028072
2009,11,0.000004,0.057075
2009,12,0.000062,0.028475
2010,1,0.000028,-.037172
2010,2,0.000010,0.034744
2010,3,0.000068,0.063668
2010,4,0.000111,0.020036
2010,5,0.000112,-.079240
2010,6,0.000127,-.050780
2010,7,0.000142,0.070360
2010,8,0.000126,-.042864
2010,9,0.000125,0.091628
2010,10,0.000112,0.038591
2010,11,0.000114,0.005117
2010,12,0.000140,0.067182
2011,1,0.000066,0.019183
2011,2,0.000122,0.038156
2011,3,0.000067,0.003341
2011,4,0.000053,0.028597
2011,5,0.000013,-.014948
2011,6,0.000035,-.018447
